word,predicted_remaining_words
lares,288.7382053654024
rales,292.10607462226335
tares,302.4916743755782
soare,303.83086648165283
reais,304.76102374344737
nares,305.54872032069073
aeros,309.73342584027137
rates,311.3553808202282
arles,314.73388837496134
serai,315.1333641689795
saner,317.73604687018195
tales,325.59481961147094
aloes,326.7001233425841
reals,329.109004008634
lanes,330.21122417514647
lears,331.2750539623805
salet,333.65094048720323
laers,334.467930928153
seral,335.69719395621337
teras,337.03839037927844
lores,339.8643231575701
earls,342.1002158495221
saine,342.2534690101758
raise,343.40487203206914
roles,345.10329941412266
reans,347.03808202281834
tears,349.5169596053037
aeons,350.06197964847365
sorel,350.32053654024054
nears,350.3987049028677
cares,350.9448041936479
aures,352.22463768115955
dares,352.58217699660804
nates,352.67375886524826
stoae,353.45821769966096
laser,354.0357693493679
strae,354.1641998149862
toeas,354.6967314215232
tores,358.1404563675609
mares,359.20582793709525
soler,360.9057971014493
sared,360.9370952821462
races,361.3085106382979
pares,362.0741597286464
taser,362.4543632439099
earns,362.55211224175156
orles,364.5107924761023
rones,365.4036386062288
hares,366.06182547024366
snare,368.4400246685168
riles,368.7912426765341
sayer,369.9890533456676
rotes,370.56382978723406
teals,371.2254085723096
stare,371.7702744372494
rapes,372.6460067838422
solei,372.7688868331792
leans,373.50000000000006
leats,374.99090348442803
aesir,375.0934320074005
gares,375.6279679309282
neals,376.7476102374345
taels,376.867869256861
dales,377.6884057971015
laris,377.83024976873264
dates,381.89793401171755
arose,382.05365402405187
taros,382.51788467468396
bares,383.07446808510633
rails,383.51803885291395
tires,384.25794017884675
lades,384.72587110699976
roues,384.7597903176072
siler,385.1507863089732
kaies,385.22463768115944
rages,385.3160653715696
arets,386.24606845513404
lairs,386.51850138760415
slate,386.731113166821
saice,388.4218316373729
toles,388.7422139993833
setal,389.8368794326241
dears,390.0723095898859
leirs,390.1506321307433
sated,390.4093432007401
slier,391.5072463768115
aides,391.97872340425533
arise,392.46854764107314
saute,392.8559975331483
ratos,392.9324699352452
laces,393.1153253160654
tries,393.7950971322849
ayres,394.04933703361087
salue,394.1145544249153
slane,394.15464076472404
antes,394.45143385753937
stear,394.6415356151712
yales,395.27320382362
acres,395.27952513105146
toras,395.327320382362
reads,395.5445575084798
males,395.63567684242975
siren,396.38914585260557
canes,396.7921677459143
taces,396.91443108233113
rines,397.4603761948813
lotes,397.4781066913352
cates,397.75901942645703
renos,398.18485969781057
sager,398.9289238359544
neats,399.2334258402714
soral,399.4124267653407
liras,399.4565217391304
noles,399.5871106999691
rakes,399.65556583410427
stale,399.7150786308974
rites,399.95806352143074
pales,399.9842738205366
solar,400.5644465001542
lames,400.68285538082023
tames,401.32192414431086
resat,401.5138760407029
seron,402.5672217082948
rials,403.6202590194265
ureas,403.64616096207226
serac,403.9613012642614
roans,403.9885908109775
saber,404.20736971939573
manes,404.2190872648782
hales,404.34643848288624
mates,404.40826395312985
raits,405.13228492136915
senor,405.4569842738207
aunes,405.4881282762874
apres,405.8942337341969
yates,406.3365710761641
eorls,406.34242984890545
panes,406.4756398396547
eards,406.97101449275374
rotas,407.80804810360775
saned,408.62195497995685
orals,408.92167745914276
naris,409.2167745914277
liars,409.25316065371567
sarge,409.7756706753006
reast,410.06444650015396
years,410.16959605303725
tapes,410.34350909651556
amies,410.92445266728356
pates,410.9292321924144
reams,412.4580635214308
ranis,412.77104532839957
tones,412.9167437557818
scrae,413.0208140610545
samel,413.4930619796484
larns,413.54825778600065
gales,413.74992291088495
riels,413.93246993524514
deals,414.1473943879124
saker,414.1864014801111
pears,414.4599136601912
satem,414.4989207523899
rains,414.91443108233125
braes,415.19703977798326
names,415.4512796793093
gates,417.2141535615171
salep,417.42183163737286
liers,417.61239592969474
loser,417.8815911193339
claes,417.93015726179465
stane,417.9748689485046
fares,418.0351526364478
reaps,418.07678075855694
raile,418.159111933395
aisle,418.41736046870176
bales,418.622571692877
store,418.6472402096824
napes,419.2557816836263
snore,419.55427073697194
leads,419.9107308048103
spaer,419.9185938945422
sarin,420.19488128276294
sabre,420.340579710145
serin,421.1584952204749
arils,421.2240209682393
wares,421.35090965155723
yores,422.1851680542708
cores,422.4222941720629
samen,422.52960222016657
teads,422.6487819919828
sonar,422.7807585568917
tabes,422.8008017267962
sorta,422.97363552266415
tiles,423.2659574468085
reins,423.4905951279679
hears,424.4748689485045
telos,424.6894850447117
mores,424.7860006167129
bates,425.04455750847984
dores,425.33749614554426
notes,426.2719703977799
abies,427.1406105457911
banes,427.56537156953436
roset,427.6273512180081
rased,427.6646623496762
paseo,428.37218624730184
earst,429.08233117483803
kales,429.2409805735431
sarod,429.7232500770891
tiars,430.572617946346
gears,430.71399938328716
roate,431.0764724020969
lenos,431.6025285229726
hates,432.71692876965767
daris,432.981652790626
lures,432.99814986123954
pores,433.11825470243605
scare,433.1264261486278
lites,433.29185938945426
oater,433.60237434474243
lines,433.85630588960834
deans,434.7277212457601
airts,435.14030218933084
sored,435.2409805735431
lakes,435.30619796484734
least,435.5134135060129
taler,435.6788467468393
takes,435.68855997533143
maser,437.71954979956826
elans,437.72263336416904
segar,438.1456984273822
rodes,438.6247301880975
bears,438.66281221091583
sayne,439.2067530064756
ideas,439.23697193956224
nabes,439.4713228492136
spare,440.19549799568296
ursae,440.57755164970706
rules,440.68023435090964
cires,440.70844896700584
aster,440.87511563367264
tarns,440.981344434166
safer,441.4119642306507
sepia,441.4205982115325
roads,441.5792476102374
meals,441.60992907801415
sitar,441.91026827012024
airns,442.39777983348756
stire,442.6296638914586
tesla,442.7554733271663
steal,442.7616404563677
share,443.03530681467777
tails,443.32269503546104
deros,443.52651865556584
iotas,443.5342275670676
raids,443.58171446191795
slade,443.7496145544251
loris,443.78122109158187
tiers,443.8871415356151
almes,443.9449583718778
tased,444.18963922294165
loans,444.1917977181622
tolas,444.50385445575085
terns,444.73465926611163
noser,445.104378661733
aegis,445.5858772741288
ratel,446.19580635214294
paise,446.35337650323766
reaks,446.4788775824854
realo,446.8325624421831
ropes,446.96037619488135
salto,447.02420598211535
sawer,447.054424915202
silen,447.1119333950046
ariel,447.18933086648155
kanes,447.3162195497996
carse,447.39454209065684
leams,447.5334566759173
teils,447.8860622880049
raine,448.154794942954
acnes,448.39469626888695
later,448.51757631822386
gores,448.5985198889917
stela,448.6493987049029
mires,448.9198273203823
melas,448.9902867715078
cades,449.2073697193957
torse,449.5311440024668
uraos,449.98936170212755
rants,450.36617329633054
daces,450.38729571384516
peals,450.59219858156035
parse,450.60653715695344
rohes,450.61424606845515
blaes,450.8194572926303
cries,451.3166820844896
osier,451.8903792784458
lotas,452.22232500770895
maise,452.7510021584952
artis,452.82007400555057
pelas,452.9196731421523
toise,452.9776441566451
marse,453.1604995374653
ceros,453.1672833795867
urase,453.2166204131976
stole,453.51495528831333
stade,453.6674375578168
roils,453.7013567684244
nerts,453.813906876349
meats,453.92599444958375
vares,454.34181313598515
sedan,454.6028368794328
lased,454.7044403330251
hires,454.7528522972557
teams,455.10021584952204
loirs,455.30635214307733
leaps,455.5607462226335
salon,455.70983657107615
tines,455.96083872957126
eyras,456.13336416897926
means,456.18501387604067
rheas,456.2255627505397
doles,456.28939253777367
saree,456.5126426148629
rices,457.36031452358935
oners,457.3886833179156
stean,457.65201973481356
dries,457.7150786308973
redos,458.4121184088806
smear,458.81282762873883
rents,459.0382362010484
kores,459.1612704286155
sired,459.4313906876349
bores,459.9756398396546
lenis,460.195497995683
sable,460.3012642614863
noels,460.3741905642924
acers,460.40394696268896
heals,460.68254702436013
stair,461.267961763799
dames,461.61810052420594
anise,461.67823003391925
tepas,461.8567684242985
peans,461.9071847055196
pries,462.1597286463152
lards,462.47070613629353
nails,462.67206290471785
auris,462.7792167745915
oaves,463.07338883749605
arsey,464.0206598828246
yeans,464.1941103916125
runes,464.3886833179156
peats,464.39392537773665
lodes,464.49059512796794
rimes,464.490903484428
doers,464.60237434474254
raves,464.8751156336725
nelis,464.90379278445886
coles,465.06136293555346
rides,465.3194572926303
wales,465.7670366944187
fanes,466.7059821153253
terai,467.06213382670364
dotes,467.1930311440025
sieur,467.61517113783543
shear,467.8780450200432
geals,468.15880357693493
baser,468.15926611162513
riads,468.26749922910886
trues,468.2752081406105
nites,468.72124576009867
haros,468.77767499229105
sauce,469.42013567684256
darts,469.45513413506
spear,469.4588344125811
ripes,469.58603145235895
sayed,469.69873573851373
getas,469.7190872648781
ables,469.9844279987667
heros,470.04131976564906
arsed,470.2943262411346
nemas,470.8559975331483
moles,470.90101757631817
stria,471.11964230650636
paris,471.1691335183473
cames,471.2602528522973
soled,471.4827320382361
apers,471.77613320999086
neaps,471.8509096515571
selah,471.9511255010792
roast,472.00847980265195
scale,472.19781066913356
fates,472.2107616404563
sorda,472.4172062904717
beals,472.61378353376506
robes,472.7403638606229
shoer,472.8974714770275
etnas,472.9807277212458
stoai,473.0351526364477
rokes,473.14924452667293
stead,473.52081406105464
losen,473.67206290471785
resay,473.8840579710145
slart,474.02713536848603
hades,474.12843046561835
maces,474.3556891766882
geats,474.5894233734196
meris,475.0303731113166
datos,475.11147086031457
rases,475.5150323774283
capes,475.5289855072464
resto,475.83364168979335
peris,476.03376503237746
seton,476.0994449583719
paces,476.31483194572917
moras,476.44141227258706
santo,476.70706136293575
lomes,476.79818069688554
razes,476.9400246685168
rhies,477.0528831329017
pairs,477.4290780141845
risen,477.76086956521743
sepal,478.30974406413833
roams,478.43401171754556
isnae,478.7531606537158
soger,478.80049337033614
baels,478.9559050262103
mairs,479.06182547024355
tomes,479.2488436632748
orate,479.8513721862473
delos,480.0713845205057
betas,480.16990440949746
samey,480.21292013567677
fears,480.54101140918897
saver,480.5647548566142
sider,480.7198581560284
trans,480.8996299722479
wears,481.0900400863398
solan,481.12180080172675
gades,481.67499229108853
spale,481.7184705519581
stone,481.7411347517731
repos,481.78492136910273
tains,481.95282146160963
lyres,481.9754856614246
wanes,482.018193031144
cages,482.0883441258095
spate,482.1234967622571
beats,482.3200740055505
poles,482.40225100215844
holes,482.61085414739443
cones,482.74653098982424
motes,482.9925994449584
stile,483.11131668208446
doats,483.1927227875424
darns,483.4155103299414
noise,483.4949121184089
rajes,483.6481652790626
euros,483.71060746222633
loads,483.83333333333337
oases,483.9781837804502
tiros,484.18470551958063
litas,484.22247918593894
cotes,484.2963305581252
shale,484.62611779216775
bries,485.36987357385135
ramis,485.39824236817765
leaks,485.65479494295414
caste,485.8328707986431
seric,485.8484427998767
irate,485.8487511563367
beans,485.936170212766
riots,486.2275670675301
toads,486.6514030218934
horas,486.80588960838725
sober,487.1117792167747
dalis,487.3826703669441
sewar,487.44017884674685
raxes,487.51665124884374
tarsi,487.59050262102994
oaten,487.70181930311435
moers,487.8563058896084
teins,487.93447425223553
artel,487.9646931853222
noris,488.1016034535925
rauns,488.1765340733888
agers,488.38189947579406
sapor,488.56413814369404
sales,488.57716620413197
smore,488.872340425532
hairs,489.20505704594507
lopes,489.2920135676842
uraei,489.43771199506625
altos,489.5760098674067
rotis,489.5832562442183
lants,489.5917360468702
soave,489.8032685784769
merls,489.93740363860616
carls,489.96238051187174
shier,490.4269195189639
solde,490.45775516497076
snead,490.6913351834723
ketas,490.71538698735725
septa,490.8678692568608
retia,491.0510329941412
paste,491.0935861856305
ribes,491.17406722170836
trois,491.240980573543
spane,491.59836571076164
ogres,491.63922294172073
laids,491.65757015109466
pareo,491.7562442183164
rouse,492.2237126117792
snarl,492.36062288004945
score,492.5490286771509
resit,492.75053962380514
genas,492.97826086956525
natis,493.02559358618555
keros,493.736817761332
abers,493.86601911810055
pones,493.99244526672834
heats,494.1535615171139
spier,494.25408572309607
goles,494.27829170521113
teaks,494.5078630897316
heirs,494.577089115017
reist,494.70551958063527
prase,494.8356460067838
ratus,495.1871723712611
karos,495.26965772432936
garis,496.1796176379895
liens,496.36278137526983
alter,496.5268270120259
geans,496.61748381128587
topes,496.6250385445576
oared,496.6398396546407
nodes,496.71322849213686
hoars,496.9509713228492
reoil,497.0872648781993
roins,497.1395312981808
sloan,497.5721554116559
marls,497.8489053345668
learn,497.86894850447106
fores,498.1370644465002
potes,498.1600370027752
noirs,498.4030218933086
shore,498.51433857539314
noyes,498.6069996916436
regos,499.1748381128585
neral,499.2119950662967
saint,499.22756706753
nards,499.29417206290486
nomes,499.62904717853837
skear,499.9182855380821
haets,499.95405488744996
spore,500.09296947271054
vales,500.2457600986741
laten,500.2691951896393
sanes,500.33541473943876
proas,500.56922602528516
aurei,500.6322849213691
hames,500.7971014492753
tules,500.80481036077697
kades,500.89870490286773
aidos,501.02497687326553
clies,501.03669441874814
trios,501.06567992599446
games,501.27443724946045
crias,501.3903792784459
loges,501.43354918285536
rands,501.5892691951897
tides,501.63428923835954
goras,502.06012950971314
sabed,502.10792476102375
mages,502.2599444958372
alecs,502.54039469626906
toges,502.704440333025
yages,502.83580018501397
herls,503.04532839963
pages,503.4366327474562
boles,503.4838112858464
dites,503.50971322849205
pleas,503.5545790934319
suite,503.8828245451744
hones,503.9947579401788
lapse,504.059050262103
sadhe,504.1239592969473
satin,504.3518347209374
meads,504.37049028677154
lunes,504.3974714770274
gairs,504.63382670366957
gapes,505.0112550107924
sware,505.0983657107617
deils,505.2445266728337
laves,505.6019118100525
bayes,505.6728337958681
renal,505.71045328399634
miles,505.72633364168973
slyer,505.7957138452051
delis,505.9961455442492
tyres,506.06876349059525
psoae,506.14199814986125
rinse,506.33302497687333
resin,506.7061362935553
praos,507.0481036077706
sears,508.11401480111005
rabis,508.2685784767192
sates,508.3835183472094
harls,508.67314215232807
oriel,508.7069071847056
rares,508.8378045020044
halse,508.9242984890534
soyle,508.9912118408881
drats,509.15016959605293
rotls,509.29448041936485
ragis,509.299722479186
derns,509.3197656490903
siled,509.3567684242986
hoers,509.42152328091277
skate,509.5803268578477
calos,509.83117483811293
kesar,509.9019426456984
paire,510.03021893308664
boras,510.1267345050878
lobes,510.190872648782
slake,510.34643848288624
syren,510.4226025285228
manse,510.42275670675315
lerps,510.46268886833184
vanes,510.963768115942
senti,511.07508479802664
tians,511.33734196731416
stage,511.3390379278445
yeads,511.7728954671601
sargo,511.80958988590817
limes,512.281683626272
piles,512.2913968547641
sceat,512.3578476719086
dials,512.3880666049953
yites,512.449737897009
lutes,512.5217391304348
tinas,512.550262102991
mabes,512.5524205982116
oiler,513.2505396238051
agues,513.4125809435709
dalts,513.4358618563058
koras,513.4913660191181
sural,513.5841813135985
boars,513.8257786000615
goers,514.1742213999383
tared,514.4838112858464
twaes,514.5035460992907
rosed,514.6123959296948
sited,514.690255935862
adios,514.7667283379586
enols,515.0010792476103
lokes,515.0121800801727
carns,515.0669133518347
tices,515.1702127659574
basen,515.2715078630897
froes,515.6456984273822
trads,515.686247301881
arses,515.7479956830095
loast,515.903792784459
botes,516.267807585569
eidos,516.2799876657416
